date,branch_id,department_id,total_beds,occupied_beds,icu_beds,icu_occupied
2023-01-01,1,1,627,540,47,32
2023-01-02,1,1,627,489,47,33
2023-01-03,1,1,627,330,47,31
2023-01-04,1,1,627,339,47,38
2023-01-05,1,1,627,494,47,42
2023-01-06,1,1,627,523,47,32
2023-01-07,1,1,627,395,47,22
2023-01-08,1,1,627,400,47,25
2023-01-09,1,1,627,376,47,30
2023-01-10,1,1,627,595,47,27
2023-01-11,1,1,627,477,47,29
2023-01-12,1,1,627,370,47,36
2023-01-13,1,1,627,514,47,29
2023-01-14,1,1,627,342,47,28
2023-01-15,1,1,627,373,47,33
2023-01-16,1,1,627,434,47,40
2023-01-17,1,1,627,466,47,28
2023-01-18,1,1,627,541,47,31
2023-01-19,1,1,627,427,47,35
2023-01-20,1,1,627,432,47,26
2023-01-21,1,1,627,566,47,40
2023-01-22,1,1,627,460,47,22
2023-01-23,1,1,627,385,47,33
2023-01-24,1,1,627,486,47,32
2023-01-25,1,1,627,592,47,37
2023-01-26,1,1,627,525,47,35
2023-01-27,1,1,627,592,47,43
2023-01-28,1,1,627,458,47,20
2023-01-29,1,1,627,413,47,41
2023-01-30,1,1,627,402,47,35
2023-01-31,1,1,627,519,47,27
2023-02-01,1,1,627,401,47,36
2023-02-02,1,1,627,552,47,21
2023-02-03,1,1,627,399,47,18
2023-02-04,1,1,627,346,47,36
2023-02-05,1,1,627,594,47,20
2023-02-06,1,1,627,348,47,41
2023-02-07,1,1,627,595,47,37
2023-02-08,1,1,627,438,47,26
2023-02-09,1,1,627,448,47,26
2023-02-10,1,1,627,317,47,23
2023-02-11,1,1,627,331,47,19
2023-02-12,1,1,627,454,47,37
2023-02-13,1,1,627,344,47,44
2023-02-14,1,1,627,584,47,29
2023-02-15,1,1,627,343,47,35
2023-02-16,1,1,627,346,47,42
2023-02-17,1,1,627,591,47,32
2023-02-18,1,1,627,512,47,43
2023-02-19,1,1,627,369,47,25
2023-02-20,1,1,627,573,47,36
2023-02-21,1,1,627,411,47,24
2023-02-22,1,1,627,460,47,42
2023-02-23,1,1,627,565,47,23
2023-02-24,1,1,627,383,47,34
2023-02-25,1,1,627,412,47,40
2023-02-26,1,1,627,402,47,22
2023-02-27,1,1,627,552,47,42
2023-02-28,1,1,627,398,47,21
2023-03-01,1,1,627,356,47,21
2023-03-02,1,1,627,344,47,33
2023-03-03,1,1,627,552,47,43
2023-03-04,1,1,627,493,47,20
2023-03-05,1,1,627,337,47,24
2023-03-06,1,1,627,396,47,40
2023-03-07,1,1,627,355,47,32
2023-03-08,1,1,627,535,47,25
2023-03-09,1,1,627,555,47,26
2023-03-10,1,1,627,443,47,27
